Date,dorimbridge,sillim3bridge,sindaebang,yangsnabridge,Geumcheon,Guanak,Namhyoen,Hyeonchoongwon,Gisangcheong,Yeongdeungpo,Yangcheon,Hangang,Acc_6h_Geumcheon,Acc_6h_Guanak,Acc_6h_Namhyoen,Acc_6h_Hyeonchoongwon,Acc_6h_Gisangcheong,Acc_6h_Yeongdeungpo,Acc_6h_Yangcheon,Acc_6h_Hangang,Avg_raninfall_710101,Avg_raninfall_710102,Avg_raninfall_710103,Avg_raninfall_710104,Avg_raninfall_710105,Avg_raninfall_710106,Avg_raninfall_710107,Avg_raninfall_710108,Avg_raninfall_710109,Avg_raninfall_710110,yangsnabridge_0.5h,yangsnabridge_1h,yangsnabridge_2h,yangsnabridge_3h,yangsnabridge_4h,yangsnabridge_5h,yangsnabridge_6h
2022-05-08 12:50,6.1,0.21,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 13:00,6.1,0.22,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 13:10,6.1,0.21,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 13:20,6.1,0.21,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 13:30,6.1,0.21,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 13:40,6.1,0.21,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 13:50,6.11,0.21,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 14:00,6.1,0.21,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 14:10,6.1,0.21,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
2022-05-08 14:20,6.1,0.17,13.06,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,31.11,31.11,31.11,31.11,31.11,31.11
